Row_number	Gene_Name	File_Location
1	group_16529	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL1
2	group_16524	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL2
3	group_16522	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL3
4	group_16516	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL4
5	group_16483	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL5
6	group_16481	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL6
7	group_16466	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL7
8	group_16460	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL8
9	group_16459	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL9
10	group_16457	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL10
11	group_16456	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL11
12	group_16400	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL12
13	group_16382	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL13
14	group_16374	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL14
15	group_16372	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL15
16	group_16363	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL16
17	group_16360	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL17
18	group_16349	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL18
19	group_16325	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL19
20	group_16323	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL20
21	group_16260	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL21
22	group_16227	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL22
23	group_16176	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL23
24	group_16174	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL24
25	recO	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL25
26	group_16157	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL26
27	group_16150	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL27
28	group_16112	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL28
29	group_16110	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL29
30	group_16096	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL30
31	group_16077	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL31
32	group_16051	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL32
33	ydcP	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL33
34	group_16046	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL34
35	group_16044	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL35
36	ftsZ	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL36
37	group_15942	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL37
38	group_15885	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL38
39	group_15855	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL39
40	group_15745	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL40
41	group_15569	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL41
42	group_15418	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL42
43	group_15392	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL43
44	group_15279	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL44
45	group_15258	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL45
46	group_15240	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL46
47	group_15207	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL47
48	group_15206	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL48
49	group_15205	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL49
50	group_15178	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL50
51	group_15135	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL51
52	group_15133	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL52
53	group_15077	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL53
54	group_15043	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL54
55	surA	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL55
56	group_14981	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL56
57	radA	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL57
58	group_14924	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL58
59	group_14855	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL59
60	group_14823	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL60
61	group_14816	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL61
62	group_14812	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL62
63	group_14756	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL63
64	group_14724	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL64
65	group_14690	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL65
66	group_14643	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL66
67	group_14642	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL67
68	group_14639	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL68
69	group_14638	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL69
70	group_14567	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL70
71	group_14566	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL71
72	group_14504	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL72
73	group_14479	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL73
74	group_14477	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL74
75	group_14432	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL75
76	group_14427	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL76
77	group_14397	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL77
78	group_14391	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL78
79	group_14355	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL79
80	group_14325	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL80
81	group_14324	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL81
82	group_14303	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL82
83	group_14274	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL83
84	group_14237	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL84
85	group_14182	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL85
86	group_14181	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL86
87	group_14180	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL87
88	group_14155	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL88
89	group_14151	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL89
90	group_14137	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL90
91	group_14115	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL91
92	group_14108	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL92
93	group_14104	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL93
94	group_14102	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL94
95	group_14077	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL95
96	group_14075	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL96
97	group_14048	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL97
